"","Normal","Tumor"
"ENSG00000018236.15",3.310632,1.403316
"ENSG00000018280.18",7.696499,7.838051
"ENSG00000018408.15",2.089916,4.797024
"ENSG00000018510.18",37.988696,20.709296
"ENSG00000018607.9",1.364663,0.213181
"ENSG00000018610.15",59.100646,30.739894
"ENSG00000018625.15",2.197669,3.386932
"ENSG00000018699.13",3.903315,0.358603
"ENSG00000018869.18",0,2.3546
"ENSG00000019102.12",2.10519,0.357255
"ENSG00000019144.20",45.731207,22.992604
"ENSG00000019169.11",12.001457,1.059405
"ENSG00000019186.10",0,8.030195
"ENSG00000019485.14",1.930897,1.708975
"ENSG00000019505.8",1.844851,0.526714
"ENSG00000019549.13",0,0.251441
"ENSG00000019582.17",50.872199,34.188461
"ENSG00000019991.18",5.42522,2.778879
"ENSG00000019995.6",0.959058,2.451253
"ENSG00000020129.16",1.675496,1.328919
"ENSG00000020181.18",0.71958,0.530055
"ENSG00000020219.9",3.151243,0.684739
"ENSG00000020256.20",1.170363,8.035387
"ENSG00000020426.11",1.604647,2.525755
"ENSG00000020577.14",1.742123,3.689118
"ENSG00000020633.19",1.962207,4.80199
"ENSG00000020922.13",11.195304,7.583189
"ENSG00000021300.14",5.674768,2.35635
"ENSG00000021355.13",6.90784,2.612747
"ENSG00000021461.18",9.719617,2.98452
"ENSG00000021488.13",6.819988,4.434075
"ENSG00000021574.15",33.509948,23.493069
"ENSG00000021645.20",3.255235,3.801134
"ENSG00000021762.20",0,4.54904
"ENSG00000021776.11",1.320302,4.426529
"ENSG00000021826.18",22.681971,26.842457
"ENSG00000021852.14",0.734099,0.989208
"ENSG00000022267.19",0,2.834635
"ENSG00000022277.13",1.650106,1.5126
"ENSG00000022355.18",1.636627,2.449358
"ENSG00000022556.16",54.497034,21.514135
"ENSG00000022567.10",1.330546,3.919213
"ENSG00000022840.17",68.391948,35.40009
"ENSG00000022976.16",27.982693,9.674164
"ENSG00000023041.12",14.209795,7.155172
"ENSG00000023171.20",2.810734,7.053317
"ENSG00000023191.17",15.066087,7.410611
"ENSG00000023228.15",6.10397,8.278217
"ENSG00000023287.13",2.314287,1.323671
"ENSG00000023318.9",7.585953,6.837251
"ENSG00000023330.15",0,1.831612
"ENSG00000023445.17",2.313834,2.613242
"ENSG00000023516.9",1.865089,0.722442
"ENSG00000023572.10",4.984372,1.68726
"ENSG00000023608.5",1.673367,1.686767
"ENSG00000023697.13",7.350286,1.792731
"ENSG00000023734.11",5.37687,2.987338
"ENSG00000023839.12",26.475846,1.626823
"ENSG00000023892.12",5.303192,4.061134
"ENSG00000023902.14",3.674868,6.231292
"ENSG00000023909.10",4.756932,4.147674
"ENSG00000024048.11",0.083968,1.775944
"ENSG00000024422.12",13.640389,1.293254
"ENSG00000024526.17",4.055961,0.223929
"ENSG00000024862.18",1.28539,0
"ENSG00000025039.15",0.676656,2.120217
"ENSG00000025156.13",7.828075,0.948334
"ENSG00000025293.17",11.0509,9.929663
"ENSG00000025423.11",0,6.344431
"ENSG00000025434.19",4.68906,12.440862
"ENSG00000025708.14",2.153486,20.600511
"ENSG00000025770.19",7.781698,2.725066
"ENSG00000025772.8",0,0
"ENSG00000025796.14",3.630367,5.928834
"ENSG00000025800.14",8.070684,5.943408
"ENSG00000026025.16",19.499093,5.846788
"ENSG00000026036.23",0.344118,1.42466
"ENSG00000026103.25",18.26095,7.677816
"ENSG00000026297.17",45.673674,40.107026
"ENSG00000026508.21",20.631756,15.65286
"ENSG00000026559.14",30.723084,12.280021
"ENSG00000026652.15",1.870148,8.366469
"ENSG00000026751.17",9.264902,4.403893
"ENSG00000026950.17",15.512653,2.483027
"ENSG00000027001.10",1.744917,3.378558
"ENSG00000027075.17",4.732619,4.38932
"ENSG00000027644.5",0.907212,0.849777
"ENSG00000027697.16",1.518431,2.136274
"ENSG00000027847.14",4.660306,9.226208
"ENSG00000027869.12",3.817816,0.723062
"ENSG00000028116.18",0.533322,0
"ENSG00000028137.19",3.077277,2.235901
"ENSG00000028203.19",36.771242,12.633097
"ENSG00000028277.22",1.307329,5.197461
"ENSG00000028310.18",9.758861,4.491316
"ENSG00000028528.15",6.155982,7.520694
"ENSG00000028839.10",0,5.657904
"ENSG00000029153.15",6.078305,2.756683
"ENSG00000029363.17",6.957794,5.599786
"ENSG00000029364.12",2.46913,4.830746
"ENSG00000029534.22",0.562315,1.654526
"ENSG00000029559.7",1.453519,1.228947
"ENSG00000029639.11",0.251607,6.586206
"ENSG00000029725.17",2.292329,1.218156
"ENSG00000029993.15",4.135708,3.480368
"ENSG00000030066.14",25.243165,38.230123
"ENSG00000030110.14",0,1.50524
"ENSG00000030304.15",1.800661,3.41036
"ENSG00000030419.17",1.058307,0.484368
"ENSG00000030582.19",0,3.50596
"ENSG00000031003.11",11.213649,10.067148
"ENSG00000031081.11",0.850104,0.749629
"ENSG00000031691.7",0,1.307568
"ENSG00000031698.13",3.192305,7.230395
