"","Normal","Tumor"
"ENSG00000008283.16",6.45401869380073,6.72841911445621
"ENSG00000008294.22",6.9464933153515,7.07690789682744
"ENSG00000008300.17",6.34263782040549,6.20931059253029
"ENSG00000008311.16",8.33676063919225,8.16530112488
"ENSG00000008323.16",6.0011569621367,5.99123822961298
"ENSG00000008324.12",6.19295368885021,6.33376385488457
"ENSG00000008394.13",7.2462972678832,6.55063745890123
"ENSG00000008405.12",5.68466030762851,6.66143192194372
"ENSG00000008441.19",6.1468166427151,6.43278673756327
"ENSG00000008513.17",5.97146337141388,7.25315154596676
"ENSG00000008516.18",5.68354168875543,6.30101861460539
"ENSG00000008517.19",5.49609511135629,6.65658983862648
"ENSG00000008710.20",7.32251021135861,7.76319257635189
"ENSG00000008735.14",6.32132856431756,6.6416951216567
"ENSG00000008838.21",6.33874676823724,6.08552471043004
"ENSG00000008853.18",6.35647252610313,6.37558841213798
"ENSG00000008869.12",5.64903804501978,6.79919511903201
"ENSG00000008952.17",6.33169530649081,6.78081926255168
"ENSG00000008988.11",7.62187268697757,7.90437701190394
"ENSG00000009307.17",6.30774919345869,6.83784937105091
"ENSG00000009335.19",7.08503751007165,6.58785457600972
"ENSG00000009413.17",10.3966313131293,8.42085724874724
"ENSG00000009694.14",5.96425314957318,6.19643529434248
"ENSG00000009709.13",6.4472304679058,6.33601754953726
"ENSG00000009724.18",6.44388039750309,6.3428412670735
"ENSG00000009765.15",7.6368792047862,7.38540175010892
"ENSG00000009780.16",6.39421743744155,6.48586940148287
"ENSG00000009790.15",6.70717306980223,6.1156786478467
"ENSG00000009830.13",6.4270171401378,6.88901039334757
"ENSG00000009844.16",6.76717227068098,6.45217306184247
"ENSG00000009950.16",8.11632671332057,7.62056186517706
"ENSG00000009954.11",5.93125680723711,6.78793978696768
"ENSG00000010017.13",5.49609511135629,6.47081386454819
"ENSG00000010072.16",6.83444239838833,6.0452116267599
"ENSG00000010219.14",6.8576453953826,6.09376975734667
"ENSG00000010244.19",6.90117600292234,7.67169534687342
"ENSG00000010256.12",5.9640286127426,6.95345941796513
"ENSG00000010270.14",6.13632748567297,6.35821366001524
"ENSG00000010278.15",6.68049306865812,6.40388579266544
"ENSG00000010292.13",6.04790862667565,5.94920161094959
"ENSG00000010295.20",6.06984583216431,6.49250469614709
"ENSG00000010310.9",6.30070230836289,7.03271477122307
"ENSG00000010318.22",6.38871543940656,6.04283995630925
"ENSG00000010322.16",6.73960485994983,6.43112028262207
"ENSG00000010327.10",6.86563497138824,5.89217359481024
